time, x0, x1, x2, x3, x4, x5, x6, x7
3.283635773217009057e-01, 1.442214885000207447e+00, 6.077851149997925972e-01, 4.923277850158784552e-02, 4.819286841128599813e-02, 2.187565080619079394e-01, -7.752290243795089131e-01, 2.775501712971399471e+00, 0.000000000000000000e+00
3.653622982108457595e-01, 1.390090985476780894e+00, 6.599090145232194837e-01, 4.914633099023035800e-02, 4.805831104666044573e-02, 2.711111825824738530e-01, -8.796978262283231542e-01, 2.879932177162123796e+00, 0.000000000000000000e+00
4.393597399891354671e-01, 1.291454270768300105e+00, 7.585457292316997169e-01, 4.897343596751538297e-02, 4.783158848452871009e-02, 3.933460237642608104e-01, -1.100634622062471868e+00, 3.100749905512973914e+00, 0.000000000000000000e+00
5.133571817674251747e-01, 1.199852932174882758e+00, 8.501470678251176194e-01, 4.880054094480040794e-02, 4.766174423219671913e-02, 5.395190355388312931e-01, -1.338587968993941058e+00, 3.338527306651345228e+00, 0.000000000000000000e+00
5.873546235457148823e-01, 1.114785162962975029e+00, 9.352148370370247932e-01, 4.862764592208543291e-02, 4.754927335193982058e-02, 7.104305434003629349e-01, -1.594860989375010751e+00, 3.594567007867242037e+00, 0.000000000000000000e+00
6.613520653240045899e-01, 1.035784941068861986e+00, 1.014215058931138058e+00, 4.845475089937045787e-02, 4.749474975116099729e-02, 9.070165823008640160e-01, -1.870856888036212862e+00, 3.870271640083792875e+00, 0.000000000000000000e+00
7.353495071022942975e-01, 9.624194825096815675e-01, 1.087580517490318366e+00, 4.828185587665548284e-02, 4.749882677850553181e-02, 1.130354033807866809e+00, -2.168086637225229651e+00, 4.167151522200035707e+00, 0.000000000000000000e+00
8.093469488805840051e-01, 8.942868787073955383e-01, 1.155713121292604617e+00, 4.810896085394050781e-02, 4.756223807110585705e-02, 1.381666579626875668e+00, -2.488177294499869685e+00, 4.486832978136646055e+00, 0.000000000000000000e+00
8.833443906588737127e-01, 8.310138934418282997e-01, 1.218986106558171967e+00, 4.793606583122553277e-02, 4.768579863439485061e-02, 1.662331424941802194e+00, -2.832880931275086667e+00, 4.831067264303144704e+00, 0.000000000000000000e+00
9.573418324371634203e-01, 7.722539121171081433e-01, 1.277746087882891901e+00, 4.776317080851055774e-02, 4.787040603072286599e-02, 1.973886825889946017e+00, -3.204084213408751491e+00, 5.201740148995050106e+00, 0.000000000000000000e+00
1.000000000000000000e+00, 7.403040120596283691e-01, 1.309695987940371786e+00, 4.766349999999999060e-02, 4.800494835258693749e-02, 2.168188861678630008e+00, -3.430904246324175677e+00, 5.428226297971590064e+00, 0.000000000000000000e+00
1.031339274215453239e+00, 7.176850403343716378e-01, 1.332314959665628296e+00, 4.759027578579558271e-02, 4.811704159437436151e-02, 2.318040501879241155e+00, -3.603818717376231273e+00, 5.600882227353449316e+00, 0.000000000000000000e+00
1.105336715993743057e+00, 6.670083421825699910e-01, 1.382991657817429720e+00, 4.741738076308060768e-02, 4.842677171844982781e-02, 2.696678996567293485e+00, -4.034272055532380996e+00, 6.030680045340094608e+00, 0.000000000000000000e+00
1.179334157772032876e+00, 6.199462045263450793e-01, 1.430053795473654521e+00, 4.724448574036563264e-02, 4.880074929259850536e-02, 3.111878026429418131e+00, -4.497799863267172960e+00, 6.493488085455306980e+00, 0.000000000000000000e+00
1.253331599550322695e+00, 5.762408160917339428e-01, 1.473759183908265991e+00, 4.707159071765065761e-02, 4.924021530273886560e-02, 3.565913859478682557e+00, -4.996938701839475527e+00, 6.991841667972039431e+00, 0.000000000000000000e+00
1.327329041328612513e+00, 5.356527541144762150e-01, 1.514347245885524051e+00, 4.689869569493568258e-02, 4.974650055088907646e-02, 4.061275786574434221e+00, -5.534419946476930363e+00, 7.528470837315914821e+00, 0.000000000000000000e+00
1.401326483106902332e+00, 4.979596723859531227e-01, 1.552040327614046644e+00, 4.672580067222070754e-02, 5.032102747139171467e-02, 4.600679760627729209e+00, -6.113184741167897229e+00, 8.106315315040950154e+00, 0.000000000000000000e+00
1.475323924885192151e+00, 4.629550835929917563e-01, 1.587044916407007955e+00, 4.655290564950573251e-02, 5.096531206075778642e-02, 5.187083281280312264e+00, -6.736400104860318372e+00, 8.728540604098576239e+00, 0.000000000000000000e+00
1.549321366663481969e+00, 4.304472285039082080e-01, 1.619552771496091781e+00, 4.638001062679075748e-02, 5.168096594597113014e-02, 5.823701604338264559e+00, -7.407476275845926494e+00, 9.398555331153538361e+00, 0.000000000000000000e+00
1.623318808441771788e+00, 4.002580254403989568e-01, 1.649741974559601143e+00, 4.620711560407578244e-02, 5.246969859528619745e-02, 6.514025362408562003e+00, -8.130085387346509762e+00, 1.012002991995937506e+01, 0.000000000000000000e+00
1.697316250220061606e+00, 3.722220945273935766e-01, 1.677777905472606745e+00, 4.603422058136080741e-02, 5.333331966205830804e-02, 7.261839693413149277e+00, -8.908181576465789675e+00, 1.089691669796645535e+01, 0.000000000000000000e+00
1.771313691998351425e+00, 3.461858516659356289e-01, 1.703814148334064527e+00, 4.586132555864583238e-02, 5.427374145855964199e-02, 8.071244983002067386e+00, -9.746022637577317127e+00, 1.173347154723604646e+01, 0.000000000000000000e+00
1.845311133776641244e+00, 3.220066672597226565e-01, 1.727993332740277221e+00, 4.568843053593085735e-02, 5.529298156758750971e-02, 8.946679334947617690e+00, -1.064819333921527900e+01, 1.263427721871955178e+01, 0.000000000000000000e+00
1.919308575554931062e+00, 2.995520849353348614e-01, 1.750447915064664794e+00, 4.551553551321588231e-02, 5.639316560097026171e-02, 9.892942892205146777e+00, -1.161963053193210627e+01, 1.360426843735756819e+01, 0.000000000000000000e+00
